id,sensor_id,recorded_at,seat_id,status
12096,2c:cf:67:ff:f5:f4,2026-06-22 21:39:41+05:30,Ground_Floor_Workstation_Seat_4,0
16089,2c:cf:67:ff:f5:f4,2026-06-25 14:34:50+05:30,Ground_Floor_Workstation_Seat_1,0
16090,2c:cf:67:ff:f5:f4,2026-06-25 14:34:50+05:30,Ground_Floor_Workstation_Seat_2,0
16091,2c:cf:67:ff:f5:f4,2026-06-25 14:34:50+05:30,Ground_Floor_Workstation_Seat_3,1
16092,2c:cf:67:ff:f5:f4,2026-06-25 14:34:50+05:30,Ground_Floor_Workstation_Seat_4,0
16093,2c:cf:67:ff:f5:f4,2026-06-25 14:35:36+05:30,Ground_Floor_Workstation_Seat_1,1
16094,2c:cf:67:ff:f5:f4,2026-06-25 14:35:36+05:30,Ground_Floor_Workstation_Seat_2,0
16095,2c:cf:67:ff:f5:f4,2026-06-25 14:35:36+05:30,Ground_Floor_Workstation_Seat_3,1
16096,2c:cf:67:ff:f5:f4,2026-06-25 14:35:36+05:30,Ground_Floor_Workstation_Seat_4,0
16097,2c:cf:67:ff:f5:f4,2026-06-25 14:35:54+05:30,Ground_Floor_Workstation_Seat_1,0
16098,2c:cf:67:ff:f5:f4,2026-06-25 14:35:54+05:30,Ground_Floor_Workstation_Seat_2,0
16099,2c:cf:67:ff:f5:f4,2026-06-25 14:35:54+05:30,Ground_Floor_Workstation_Seat_3,1
16100,2c:cf:67:ff:f5:f4,2026-06-25 14:35:54+05:30,Ground_Floor_Workstation_Seat_4,0
16101,2c:cf:67:ff:f5:f4,2026-06-25 14:36:37+05:30,Ground_Floor_Workstation_Seat_1,0
16102,2c:cf:67:ff:f5:f4,2026-06-25 14:36:37+05:30,Ground_Floor_Workstation_Seat_2,0
16103,2c:cf:67:ff:f5:f4,2026-06-25 14:36:37+05:30,Ground_Floor_Workstation_Seat_3,1
16104,2c:cf:67:ff:f5:f4,2026-06-25 14:36:37+05:30,Ground_Floor_Workstation_Seat_4,0
16105,2c:cf:67:ff:f5:f4,2026-06-25 14:36:55+05:30,Ground_Floor_Workstation_Seat_1,0
16106,2c:cf:67:ff:f5:f4,2026-06-25 14:36:55+05:30,Ground_Floor_Workstation_Seat_2,0
16107,2c:cf:67:ff:f5:f4,2026-06-25 14:36:55+05:30,Ground_Floor_Workstation_Seat_3,1
16108,2c:cf:67:ff:f5:f4,2026-06-25 14:36:55+05:30,Ground_Floor_Workstation_Seat_4,0
16109,2c:cf:67:ff:f5:f4,2026-06-25 14:37:37+05:30,Ground_Floor_Workstation_Seat_1,0
16110,2c:cf:67:ff:f5:f4,2026-06-25 14:37:37+05:30,Ground_Floor_Workstation_Seat_2,0
16111,2c:cf:67:ff:f5:f4,2026-06-25 14:37:37+05:30,Ground_Floor_Workstation_Seat_3,1
16112,2c:cf:67:ff:f5:f4,2026-06-25 14:37:37+05:30,Ground_Floor_Workstation_Seat_4,1
16113,2c:cf:67:ff:f5:f4,2026-06-25 14:38:15+05:30,Ground_Floor_Workstation_Seat_1,0
16114,2c:cf:67:ff:f5:f4,2026-06-25 14:38:15+05:30,Ground_Floor_Workstation_Seat_2,0
16115,2c:cf:67:ff:f5:f4,2026-06-25 14:38:15+05:30,Ground_Floor_Workstation_Seat_3,1
16116,2c:cf:67:ff:f5:f4,2026-06-25 14:38:15+05:30,Ground_Floor_Workstation_Seat_4,1
16117,2c:cf:67:ff:f5:f4,2026-06-25 14:38:33+05:30,Ground_Floor_Workstation_Seat_1,0
16118,2c:cf:67:ff:f5:f4,2026-06-25 14:38:33+05:30,Ground_Floor_Workstation_Seat_2,0
16119,2c:cf:67:ff:f5:f4,2026-06-25 14:38:33+05:30,Ground_Floor_Workstation_Seat_3,1
16120,2c:cf:67:ff:f5:f4,2026-06-25 14:38:33+05:30,Ground_Floor_Workstation_Seat_4,0
16121,2c:cf:67:ff:f5:f4,2026-06-25 14:39:13+05:30,Ground_Floor_Workstation_Seat_1,0
16122,2c:cf:67:ff:f5:f4,2026-06-25 14:39:13+05:30,Ground_Floor_Workstation_Seat_2,0
16123,2c:cf:67:ff:f5:f4,2026-06-25 14:39:13+05:30,Ground_Floor_Workstation_Seat_3,1
16124,2c:cf:67:ff:f5:f4,2026-06-25 14:39:13+05:30,Ground_Floor_Workstation_Seat_4,0
12133,2c:cf:67:ff:f5:f4,2026-06-22 21:44:50+05:30,Ground_Floor_Workstation_Seat_1,0
12134,2c:cf:67:ff:f5:f4,2026-06-22 21:44:50+05:30,Ground_Floor_Workstation_Seat_2,0
12135,2c:cf:67:ff:f5:f4,2026-06-22 21:44:50+05:30,Ground_Floor_Workstation_Seat_3,0
12136,2c:cf:67:ff:f5:f4,2026-06-22 21:44:50+05:30,Ground_Floor_Workstation_Seat_4,0
16125,2c:cf:67:ff:f5:f4,2026-06-25 14:39:31+05:30,Ground_Floor_Workstation_Seat_1,0
16126,2c:cf:67:ff:f5:f4,2026-06-25 14:39:31+05:30,Ground_Floor_Workstation_Seat_2,0
16127,2c:cf:67:ff:f5:f4,2026-06-25 14:39:31+05:30,Ground_Floor_Workstation_Seat_3,1
16128,2c:cf:67:ff:f5:f4,2026-06-25 14:39:31+05:30,Ground_Floor_Workstation_Seat_4,0
16129,2c:cf:67:ff:f5:f4,2026-06-25 14:40:15+05:30,Ground_Floor_Workstation_Seat_1,1
